174,Правительство Кировской области,58140,111,62291,123,67264,118,70651,120,108687,17,47690,26,110026,19,73629,114,67313,59,68,15,-3,1.14
175,Администрация Костромской области,-1,-1,51531,99,55958,114,64564,112,80951,41,80609,39,85595,34,63378,95,185408,7,51,259,21,1.07
176,Правительство Краснодарского края,-1,-1,-1,-1,44273,3157,49383,4411,52098,5043,72608,428,138159,10,131264,18,114089,13,35,157,-62,0.72
177,Правительство Красноярского края,54987,261,50800,586,70306,792,49935,607,110556,12,64917,149,55109,390,56632,1635,-1,-1,58,2,152,1.21
178,Правительство Курганской области,72979,77,74414,77,84074,104,45460,690,90077,91,88527,94,93463,83,74272,85,-1,-1,58,1,13,1.26
179,Правительство Курской области,19979,53,-1,-1,35581,56,47262,739,39033,918,41349,827,45516,672,55901,720,59342,700,68,197,975,2.05
180,Правительство Ленинградской области,55520,901,67549,293,71270,820,77555,1021,175327,34,86511,834,181889,29,201714,38,228703,32,68,311,48,1.59
181,Правительство Московской области,208399,2,90319,105,214852,1,357649,3,382044,13,302331,3,397154,2,233869,5,409635,1,31,322,88,1.65
182,Правительство Мурманской области,127539,48,134324,79,153012,64,187028,61,199778,54,200940,52,207380,49,270671,21,295456,13,68,131,91,1.56
183,Правительство Ненецкого АО,179288,38,176331,64,162040,56,179941,64,168556,96,144978,92,134876,84,143221,84,184288,54,68,2,10,0.92
184,Правительство Нижегородской области,231813,24,231313,24,261843,28,188332,39,244824,63,151765,127,170874,117,-1,-1,-1,-1,52,-26,29,2.5
185,Правительство Новгородской области,54642,109,46946,96,63990,48,74402,91,97738,85,75752,68,97332,70,106375,90,120771,64,68,121,68,1.57
186,Правительство Пермского края,164584,33,85265,152,81964,79,119498,73,207709,25,78927,85,85023,94,86216,98,99698,100,68,-39,44,1.35
187,Правительство Приморского края,-1,-1,71790,48,71449,57,63100,78,179593,2,76512,53,63790,38,91213,38,119830,36,51,66,39,1.57
188,Правительство Ростовской области,76922,83,85863,84,80940,114,78536,156,75443,156,81054,178,91501,184,80844,367,88359,194,68,14,138,1.49
189,Правительство Рязанской области,-1,-1,-1,-1,62519,94,68793,96,53399,713,66331,104,-1,-1,-1,-1,-1,-1,19,6,18,0.95
190,Правительство Самарской области,-1,-1,-1,-1,161620,31,102251,1,124263,1,172269,32,145852,38,110337,102,232127,24,35,43,19,1.26
191,Правительство Санкт-Петербурга,73927,669,79699,784,89531,1427,85853,885,86264,1641,111766,481,96812,717,123323,514,106662,123,68,44,-13,1.2
192,Правительство Свердловской области,152029,26,102583,132,193553,21,80878,347,79002,352,197680,27,184340,26,76536,90,190738,194,68,25,110,0.6
193,Правительство Ставропольского края,63188,96,69365,206,80986,159,81710,176,51423,1453,67405,281,87927,203,94184,199,-1,-1,58,49,126,1.53
194,Правительство Хабаровского края,178132,18,-1,-1,169274,45,150412,148,240067,30,125305,274,139805,236,-1,-1,-1,-1,52,-21,43,2.29
195,Правительство Ямало-Ненецкого АО,-1,-1,178223,550,205318,976,208843,1090,197519,1195,198938,1132,196200,551,228987,660,238225,545,51,33,32,1.26
197,Правительство Белгородской области,33194,170,47408,170,44730,531,47666,690,48022,863,50801,843,133893,14,51855,2535,57873,1359,68,74,341,1.66
200,Правительство Брянской области,21889,61,-1,-1,-1,-1,-1,-1,71682,7,50163,3,111364,31,119050,32,346584,8,68,1483,288,2.19
202,Правительство Владимирской области,72665,9,127247,2,235355,1,84172,117,83524,121,84663,130,86912,134,-1,-1,-1,-1,52,19,191,0.64
204,Правительство Волгоградской области,141397,19,183471,20,93538,79,53008,1813,52074,1430,154641,54,206853,51,215506,62,-1,-1,58,52,87,0.6
205,Губернатор Вологодской области,-1,-1,-1,-1,77337,157,-1,-1,-1,-1,69468,291,69325,294,-1,-1,76099,322,35,-1,64,1.91
206,Правительство Вологодской области,26864,534,46173,336,53041,342,59695,485,56638,463,47185,147,50835,100,69022,343,77980,332,68,190,115,1.44
207,Правительство Воронежской области,50981,360,47116,45,44867,763,48134,690,48312,1036,117607,178,259658,32,231254,31,267478,36,68,424,30,0.78
210,Правительство Ивановской области,79385,30,85820,32,75463,124,75459,126,72072,129,73639,127,-1,-1,84527,114,-1,-1,58,6,62,0.79
212,Правительство Иркутской области,61778,20,52087,204,64945,62,92411,41,56500,262,54561,432,51555,501,55692,707,63415,611,68,2,358,4.0
213,Губернатор Калининградской области,212293,1,-1,-1,-1,-1,187435,1,175631,1,-1,-1,68694,194,-1,-1,76128,210,10,10,17,2.9
214,Правительство Калининградской области,-1,-1,102828,11,128258,37,82931,87,92785,105,69470,202,149837,31,65196,217,79950,1,42,-36,176,1.94
216,Правительство Калужской области,41550,220,50007,682,53044,512,58555,340,61307,311,72892,392,77769,88,105276,108,165004,54,68,297,74,0.89
220,Правительство Липецкой области,-1,-1,44288,499,48114,454,51432,454,52545,395,54555,416,55649,369,64041,266,66296,178,51,49,-5,1.27
222,Правительство Магаданской области,77942,39,64092,593,158629,46,183614,49,184994,56,140770,39,284015,18,160370,52,177270,64,68,127,185,1.8
224,Правительство Новосибирской области,-1,-1,177411,16,157944,38,213909,35,208218,41,169551,49,156604,44,159161,60,162335,53,51,-8,117,3.7
226,Правительство Омской области,247063,17,320273,1,269187,13,155507,28,179867,33,186573,40,190871,38,131932,49,151618,22,68,-38,-17,2.31
228,Правительство Оренбургской области,132919,13,151705,23,166421,5,82470,151,82904,369,145945,14,210872,4,218972,3,132335,7,68,0,-10,0.4
230,Правительство Орловской области,19882,2,39176,934,60185,117,60036,102,50121,126,46595,560,44962,877,44038,830,140752,13,51,259,-40,0.83
231,Губернатор Пензенской области,338597,1,396877,1,79849,51,92960,27,-1,-1,-1,-1,-1,-1,-1,-1,146408,37,35,83,45,1.83
232,Правительство Пензенской области,-1,-1,72946,63,80538,58,92960,27,105950,30,120177,32,127483,34,130997,34,-1,-1,42,79,18,1.64
234,Правительство Псковской области,44811,91,54160,121,42628,223,75515,156,65185,133,106766,8,119447,13,101063,24,149143,29,68,232,59,1.12
238,Правительство Сахалинской области,-1,-1,89840,8,175310,86,190144,82,195063,68,196693,89,174775,98,206646,79,237808,71,51,164,307,1.77
241,Глава администрации Тамбовской области,-1,-1,-1,-1,-1,-1,286287,1,387933,1,185729,8,183791,10,-1,-1,233333,7,13,25,21,0.5
242,Правительство Тамбовской области,-1,-1,54455,139,70503,121,66389,133,65251,140,62344,147,63780,150,73313,146,72917,134,51,33,33,1.42
244,Правительство Тверской области,54668,94,59116,119,88358,124,100501,109,88734,151,85854,160,122724,112,118405,120,128595,100,68,135,146,1.27
246,Правительство Томской области,132103,1,102923,105,117496,153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,14,31,2.0
251,Правительство Тюменской области,-1,-1,78663,15,-1,-1,-1,-1,178995,14,163744,6,250733,1,181855,9,-1,-1,42,131,96,4.25
253,Правительство Ульяновской области,97712,3,-1,-1,53324,98,61767,166,54976,183,59174,194,57575,236,63209,237,229072,29,35,329,162,2.0
255,Правительство Челябинской области,104616,114,116133,110,110905,101,118869,148,124694,138,123947,161,125773,177,130187,179,155594,173,68,48,91,1.82
257,Правительство Ярославской области,65764,145,65639,434,57897,607,63900,421,64534,411,56174,319,82751,230,87061,237,122283,124,68,85,55,1.2
261,Правительство Еврейской автономной области,-1,-1,41873,318,40193,89,65899,179,96793,40,46824,100,95900,22,97317,31,113250,20,51,170,-6,1.32
263,Правительство Ханты-мансийского автономного округа - Югры,176302,149,199283,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,13,7,3.0
264,Губернатор Чукотского автономного округа,-1,-1,268040,1,242500,2,-1,-1,333325,2,334995,9,345295,9,307944,4,-1,-1,2,3,3,2.18
265,Правительство Чукотского автономного округа,171090,11,179187,15,181580,15,196450,10,210077,17,334995,5,-1,-1,-1,-1,264064,4,46,22,37,1.14
447,Управление ФАС Архангельская область,58013,4,32666,24,38442,15,55488,21,-1,-1,60861,10,56094,10,65280,8,65327,4,42,99,30,1.41
453,Правительство РФ,270660,18,304819,56,341422,27,384612,14,360249,13,359149,11,357470,16,342636,17,355664,21,68,31,36,1.05
456,Администрация Президента РФ,306975,49,347344,37,400571,4,350874,3,386643,5,372292,11,397256,5,404576,5,-1,-1,48,21,-1,1.04
465,Министерство энергетики ,53485,538,57643,511,75564,303,151387,193,146194,186,132765,164,154010,175,144709,183,171247,158,68,220,90,1.17
515,Федеральное агентство по управлению государственным имуществом ,36668,739,38523,571,50448,797,-1,-1,-1,-1,95916,187,99488,137,110437,154,135526,116,68,269,109,1.36
575,Управление делами Президента ,112685,94,105747,170,133161,192,158807,197,155051,208,162905,197,179487,191,186389,194,-1,-1,58,65,121,1.56
579,Министерство культуры ,82869,70,150113,203,181463,3,123098,369,153908,1039,155917,1050,162823,1023,183641,252,194170,239,68,134,291,2.06
