8,Прокуратуры субъектов,81641,3387,83962,3754,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,2,8,0.36
10,Прокуратура Республики Алтай,100683,14,110275,14,100795,3656,145185,3297,132131,3293,129010,3370,132353,3244,140769,3061,167819,2835,68,66,309,2.28
18,Прокуратура Брянской области,75058,39,75609,40,92935,40,131071,38,115572,38,111598,39,115256,39,125312,36,154747,38,68,106,105,2.02
19,Прокуратура Владимирской области,80060,23,79984,22,84644,22,82655,22,124668,45,114062,20,116075,24,127659,22,158302,22,68,97,97,2.2
20,Прокуратура Алтайского края,59936,177,62656,174,84547,176,112215,173,92602,182,92088,179,81507,102,108930,175,128504,169,68,114,112,1.86
21,Прокуратура Амурской области,-1,-1,109168,27,133946,27,182688,29,170953,31,172391,29,161550,29,182292,32,219558,27,51,101,101,2.66
22,Прокуратура Архангельской области,-1,-1,-1,-1,152379,27,203488,25,183792,29,189320,27,188276,30,204751,29,251962,29,35,65,66,3.15
23,Прокуратура Астраханской области,70533,21,68280,22,93647,23,129727,23,122463,22,118023,22,124092,20,130931,22,-1,-1,58,85,87,1.78
24,Прокуратура Республики Башкортостан,61451,186,62534,192,82772,191,100405,192,100737,162,96992,167,96686,167,101124,172,134288,170,68,118,114,2.01
25,Прокуратура Республики Бурятия,98638,28,98976,29,133852,26,181045,31,164254,31,167359,27,175540,25,178947,28,229595,27,68,132,132,2.19
26,Прокуратура Волгоградской области,59333,36,67668,45,102882,1,120347,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,102,115,2.38
27,Прокуратура Вологодской области,86192,30,77925,26,107915,31,152773,29,133236,31,126457,28,124729,29,-1,-1,-1,-1,52,44,42,1.64
28,Прокуратура Воронежской области,62442,46,62718,48,89899,48,115058,47,104439,53,106647,44,120143,47,120280,44,145713,44,68,133,130,1.82
29,Прокуратура Забайкальского края,-1,-1,101022,39,126669,38,181553,37,158298,38,169514,40,170115,38,180099,35,-1,-1,42,78,73,2.03
30,Прокуратура Иркутской области,86274,183,94204,177,142714,52,185014,86,169435,51,173671,53,178097,46,-1,-1,-1,-1,52,106,54,1.07
31,Прокуратура Калининградской области,-1,-1,-1,-1,77638,49,115209,23,103285,25,102617,23,113991,27,128170,23,158432,22,35,104,75,2.04
32,Прокуратура Республики Калмыкия,69347,16,71720,17,92082,17,134897,16,125093,16,116961,16,117626,16,137508,14,157057,17,68,126,128,2.3
33,Прокуратура Камчатского края,163493,15,184132,15,221186,16,289457,15,283692,15,278227,14,276916,14,306497,10,354719,10,68,116,100,1.71
35,Прокуратура Карачаево-Черкесской республики,-1,-1,120351,15,125219,14,154478,11,157781,11,151851,10,156180,13,165531,15,211147,12,51,75,68,2.53
36,Прокуратура Кемеровской области,95518,50,99467,49,120504,53,162787,51,151062,54,147713,58,155985,51,169779,48,204521,48,68,114,112,2.17
37,Прокуратура Кировской области,69000,49,71545,46,91763,52,132181,46,118515,52,121139,47,121718,51,121973,48,152269,47,68,120,120,2.12
38,Прокуратура Республики Коми,-1,-1,119304,29,158385,29,209178,28,205025,30,-1,-1,-1,-1,-1,-1,-1,-1,31,71,73,2.03
39,Прокуратура Костромской области,61138,28,59526,28,79817,28,113714,30,104754,30,100345,28,103228,35,110753,31,130514,29,68,113,114,2.12
40,Прокуратура Красноярского края,100486,66,102750,67,130736,65,184537,64,161633,62,167942,66,167417,66,189279,63,227884,54,68,126,120,2.41
41,Прокуратура Курской области,-1,-1,57236,91,72902,86,113905,35,103215,36,105167,36,106666,37,108724,36,141117,35,51,146,88,1.81
43,Прокуратура Липецкой области,56915,71,58608,71,74883,69,91273,69,107073,28,111603,27,110001,26,121497,28,154257,27,68,171,109,1.99
44,Прокуратура Магаданской области,116646,26,140687,26,176790,27,209741,28,198211,24,189788,24,193818,23,213462,23,287513,20,68,146,122,3.11
45,Прокуратура Республики Дагестан,107458,56,106479,53,115484,1,214843,1,204632,1,-1,-1,-1,-1,-1,-1,-1,-1,11,0,-1,0.57
46,Прокуратура Краснодарского края,60934,55,65464,57,85800,57,121475,54,107237,59,107092,57,111764,51,123766,55,153188,46,68,151,146,1.91
47,Прокуратура Республики Марий Эл,58762,26,-1,-1,72297,15,107345,19,97496,18,98101,20,101626,23,114153,16,146591,20,68,149,106,1.8
48,Прокуратура Республики Мордовия,63024,26,71864,25,82367,28,114116,28,105887,28,108248,27,109940,27,122988,29,150032,28,68,138,139,2.2
49,Прокуратура города Москвы,84979,64,90529,71,93398,168,145102,72,137657,75,124060,166,142352,195,135622,125,154178,107,68,81,103,2.06
