Id	Name	2011	|2011|	2012	|2012|	2013	|2013|	2014	|2014|	2015	|2015|	2016	|2016|	2017	|2017|	2018	|2018|	2019	|2019|	2020	|2020|	Q1	PI	D1	V2	|V2|
1438	Ровеньский район	-1	0	350668.5	92	371558.5	102	412062.0	108	462593.5	64	508101	67	426362	161	436730.5	222	485895	157	533419	127	1,23	55	52	1,33	648
1439	Чернянский район	411965	43	-1	0	367766.5	144	406241	141	416686.5	118	389797.0	214	371982	195	449358.5	288	569019	199	610863	133	1,41	73	48	1,95	834
1440	Шебекинский - городской округ	-1	0	311570	217	364842.0	170	470145	143	463589.5	188	523808.0	120	563776.0	138	562275.5	142	642380	199	712754.5	148	1,65	55	128	1,8	843
1441	Яковлевский - городской округ	-1	0	358797.5	170	407358	171	396831	189	389277	153	423060.0	106	439150.5	296	512061	195	601967	71	-1	0	1,42	52	67	1,5	764
1443	Воронеж - городской округ	429200	51	517000	813	542000.0	844	582510	1197	600000	1193	658468.0	1210	675727.5	1266	739614	1187	771385	1183	733808.5	530	1,7	73	70	1,2	6843
1444	Нововоронеж - городской округ	533414.0	32	533518	53	572509.5	52	609184	69	777117	71	730359	71	830722.0	68	988126	63	753512	57	821583.0	52	1,9	73	54	1,0	436
1445	Борисоглебский - городской округ	-1	0	440057.0	120	523232.0	108	534353	113	523596	149	1031219	29	621202.0	114	684205	123	691370	115	733520	127	1,69	55	66	1,2	603
1446	Аннинский район	622597	9	440250	51	466755.0	58	443178.0	56	697158.0	12	828641	25	941486.0	24	1077828.0	24	1381000	23	1258835.0	24	2,91	73	102	1,5	209
1447	Бобровский район	-1	0	223482.5	114	282237.0	104	321964.5	92	311212.5	202	435883.0	148	453000	145	553112.5	158	711755	99	678481	27	1,57	55	203	1,6	657
1448	Богучарский район	-1	0	363450.0	108	444760	131	484435.0	102	378441.0	248	397831	277	412532	279	464212.0	258	559307	167	666638.0	160	1,54	55	83	1,67	1244
1449	Бутурлиновский район	351959.5	24	244436	57	295116	89	387248.5	88	401544.0	128	419819.5	108	421210	293	556447.0	108	577617	101	613492.0	94	1,42	73	74	1,0	671
1450	Верхнемамонский район	303239.0	56	337178	57	421120	55	451001.5	60	527904.0	64	501352	57	527062	55	582436	49	626603	59	593894.5	52	1,37	73	95	1,1	371
1451	Верхнехавский район	-1	0	500213.5	36	611142.5	8	542424	51	545800	55	577960	51	521310	61	543344	243	573111.5	76	614256.0	82	1,42	55	22	0,0	329
1452	Воробьевский район	-1	0	278155.5	86	337153	55	462785	43	514485.5	64	514949.0	54	501354.0	54	571644.5	60	505550.0	80	912718	21	2,11	55	228	1,5	317
1453	Грибановский район	207442.0	52	332579.5	22	406758	23	448786	31	501438.5	52	486426.5	80	469490	79	558368	71	568120.5	66	639786.0	68	1,48	73	208	1,5	339
1454	Калачеевский район	277329	45	336705.0	56	433615	21	357553.0	54	348859	51	440177.5	70	522373	67	511088.0	62	618472	57	722682.0	48	1,67	73	160	1,18	374
1455	Каменский район	225563	45	270885	73	365974.5	86	460188	57	463588	65	369814.5	24	487025	35	546437	65	526259.0	62	560292	63	1,29	73	148	1,33	355
1456	Кантемировский район	-1	0	-1	0	206103	7	237869.0	8	446624	29	428021.5	24	517341	95	502336.0	228	576719.0	104	622205.0	76	1,44	40	201	1,0	270
1457	Каширский район	-1	0	344815	35	353388.0	38	436526	37	462269	63	543998.5	60	480728.0	60	558262.5	58	532481.0	60	461564	35	1,07	55	33	1,83	336
1458	Лискинский район	732768	23	398122.0	112	594346	31	598018.0	126	653217	167	663533.5	156	749927.0	166	803088	163	813886.5	160	883085	161	2,04	73	20	1,4	892
1459	Нижнедевицкий район	709604	9	346807	43	512325	43	547260.0	42	403157	121	407287	105	413461.5	132	468604.5	138	526066	77	503845	73	1,16	73	-28	1,0	494
1460	Новоусманский район	376075	59	461096.5	42	502609	39	529124	31	611722	41	595827.5	48	688547	41	728104	87	724980.0	82	841730.0	86	1,94	73	123	1,2	346
1461	Новохоперский район	279438	47	366674.5	48	430591.0	48	477782	43	575118.0	62	572220.5	62	555602	83	601788.0	102	698807.5	78	745324	73	1,72	73	166	1,17	443
1462	Ольховатский район	-1	0	355467	63	370093.0	62	423306	67	407533.5	90	474178.5	92	476259	89	574769.0	88	603120	87	674663.0	74	1,56	55	89	1,17	555
1463	Острогожский район	-1	0	399636.0	30	368587.0	38	502477	37	596292	85	589562.5	86	584542.5	80	561079.0	84	622037	87	689243.0	86	1,59	55	72	1,33	446
