1,Санкт-Петербург,101149,51248,1.97,9478
3,Республика Адыгея,49740,23943,2.08,2057
4,Республика Башкортостан,59706,30176,1.98,6860
5,Республика Бурятия,57708,31260,1.85,2639
6,Республика Алтай,51993,24872,2.09,1201
8,Республика Ингушетия,43613,19954,2.19,1138
9,Кабардино-Балкарская Республика,43858,19796,2.22,2013
11,Карачаево-Черкесская республика,39897,20788,1.92,1437
12,Республика Карелия,76069,34922,2.18,2300
13,Республика Коми,80828,42940,1.88,3168
17,Республика Северная Осетия — Алания,38523,21061,1.83,2258
18,Республика Татарстан,55402,31341,1.77,3370
20,Удмуртская республика,50102,27807,1.8,1921
21,Республика Хакасия,68129,29787,2.29,2578
24,Алтайский край,42966,23480,1.83,6286
27,Краснодарский край,57778,29887,1.93,12059
28,Красноярский край,64972,38351,1.69,8108
29,Пермский край,54266,31958,1.7,7525
32,Хабаровский край,102126,43216,2.36,2780
33,Амурская область,66096,40376,1.64,3752
35,Брянская область,49780,24571,2.03,3148
36,Владимирская область,52338,28174,1.86,2095
37,Архангельская область,64640,41030,1.58,3846
38,Астраханская область,53593,26001,2.06,2386
41,Волгоградская область,52453,26518,1.98,5905
42,Вологодская область,52723,32854,1.6,5026
43,Воронежская область,61941,28187,2.2,6189
44,Забайкальский край,56608,33456,1.69,4160
45,Иркутская область,72970,37921,1.92,7884
46,Калининградская область,61523,31681,1.94,3468
47,Республика Калмыкия,43150,21984,1.96,1353
48,Камчатский край,142409,62444,2.28,2161
50,Кемеровская область,67464,34256,1.97,2317
51,Кировская область,43936,25074,1.75,4381
53,Костромская область,42671,24172,1.77,2686
55,Курская область,47092,26521,1.78,5229
56,Ленинградская область,86699,42076,2.06,4382
57,Липецкая область,53774,28557,1.88,4261
58,Магаданская область,124694,69316,1.8,962
59,Республика Дагестан,45735,20015,2.29,2671
61,Республика Марий Эл,46380,23739,1.95,2688
62,Республика Мордовия,44134,24052,1.83,3008
63,Москва,142929,66103,2.16,10737
64,Московская область,97881,45201,2.17,6171
65,Мурманская область,89358,49589,1.8,2540
66,Нижегородская область,55589,30671,1.81,8072
67,Новгородская область,54551,29168,1.87,2393
68,Новосибирская область,61266,32556,1.88,5916
69,Омская область,50772,27380,1.85,4666
70,Орловская область,47567,23228,2.05,3144
72,Пензенская область,60918,25563,2.38,2016
74,Приморский край,74114,40620,1.82,4441
75,Псковская область,47774,23895,2.0,2950
76,Ростовская область,53990,27619,1.95,7063
77,Самарская область,56505,30428,1.86,6185
79,Саратовская область,48250,24155,2.0,1824
80,Свердловская область,73886,34818,2.12,7309
81,Ставропольский край,48379,24432,1.98,7835
82,Тамбовская область,43259,24417,1.77,3129
84,Тульская область,61990,31694,1.96,4802
85,Республика Тува (Тыва),47516,27822,1.71,694
86,Тюменская область,102123,39185,2.61,1208
88,Ульяновская область,54343,25906,2.1,2322
89,Челябинская область,62453,31245,2.0,6283
90,Чеченская республика,57426,22501,2.55,1429
91,Чувашская республика - Чувашия,38066,24069,1.58,2053
92,Республика Саха (Якутия),117803,56863,2.07,2055
93,Еврейская автономная область,84121,34538,2.44,1928
94,Сахалинская область,132831,62647,2.12,2451
95,Чукотский автономный округ,149460,76865,1.94,298
96,Белгородская область,53485,29766,1.8,7788
97,Калужская область,59891,33385,1.79,4747
98,Курганская область,42268,24717,1.71,2564
99,Ивановская область,48158,23117,2.08,2312
100,Смоленская область,41540,26720,1.55,1752
101,Тверская область,55907,27513,2.03,3350
102,Ненецкий автономный округ,137043,71303,1.92,614
103,Рязанская область,58358,28331,2.06,2978
104,Ямало-Ненецкий автономный округ,197918,77542,2.55,3946
105,Оренбургская область,53481,27016,1.98,4319
106,Томская область,69120,34074,2.03,1549
107,Ярославская область,53156,29987,1.77,4061
108,Ханты-Мансийский автономный округ — Югра,133642,60570,2.21,1024
109,Республика Крым*,51277,25901,1.98,3469
110,Севастополь*,55896,29563,1.89,2276
