1,Санкт-Петербург,34222,23576,1.45,7844
3,Республика Адыгея,21778,10174,2.14,712
4,Республика Башкортостан,30313,13351,2.27,3448
5,Республика Бурятия,31886,15664,2.04,1577
6,Республика Алтай,33344,10622,3.14,780
8,Республика Ингушетия,19174,10271,1.87,848
9,Кабардино-Балкарская Республика,21507,9268,2.32,1492
11,Карачаево-Черкесская республика,23082,8795,2.62,787
12,Республика Карелия,34584,17692,1.95,1706
13,Республика Коми,42391,22236,1.91,1517
17,Республика Северная Осетия — Алания,20030,8708,2.3,836
18,Республика Татарстан,20751,13520,1.53,7964
20,Удмуртская республика,23370,12065,1.94,2061
21,Республика Хакасия,33642,14826,2.27,1483
24,Алтайский край,23551,10270,2.29,5644
27,Краснодарский край,20852,13735,1.52,6155
28,Красноярский край,33587,19037,1.76,9646
29,Пермский край,28265,15825,1.79,6283
32,Хабаровский край,39807,21158,1.88,2140
33,Амурская область,38442,18882,2.04,1170
35,Брянская область,20224,10304,1.96,3332
36,Владимирская область,22091,13132,1.68,2690
37,Архангельская область,38505,17297,2.23,3351
38,Астраханская область,20762,11601,1.79,1777
41,Волгоградская область,30024,12093,2.48,2189
42,Вологодская область,23843,15638,1.52,2082
43,Воронежская область,26310,12470,2.11,3152
44,Забайкальский край,30532,14414,2.12,2424
45,Иркутская область,37054,16202,2.29,2874
46,Калининградская область,25770,15687,1.64,2056
47,Республика Калмыкия,22107,8569,2.58,1021
48,Камчатский край,55750,30912,1.8,1326
50,Кемеровская область,28565,16325,1.75,4277
51,Кировская область,26784,11480,2.33,3607
53,Костромская область,23658,12111,1.95,1492
55,Курская область,24302,11405,2.13,2196
56,Ленинградская область,37728,18902,2.0,2409
57,Липецкая область,21605,14424,1.5,2171
58,Магаданская область,57238,27932,2.05,1223
59,Республика Дагестан,24737,7245,3.41,979
61,Республика Марий Эл,22038,10653,2.07,1911
62,Республика Мордовия,20257,10416,1.94,3411
63,Москва,41969,31006,1.35,8311
64,Московская область,30441,21375,1.42,3786
65,Мурманская область,50424,24433,2.06,2115
66,Нижегородская область,26630,13886,1.92,5016
67,Новгородская область,24171,15063,1.6,2543
68,Новосибирская область,26292,15342,1.71,2225
69,Омская область,25219,13143,1.92,2703
70,Орловская область,22206,11193,1.98,2446
72,Пензенская область,21796,11324,1.92,4071
74,Приморский край,37803,19361,1.95,4732
75,Псковская область,26598,12208,2.18,1898
76,Ростовская область,27207,12658,2.15,4815
77,Самарская область,22983,15262,1.51,5816
79,Саратовская область,21147,11745,1.8,3501
80,Свердловская область,32639,17824,1.83,4914
81,Ставропольский край,22200,11139,1.99,4346
82,Тамбовская область,22327,10854,2.06,2529
84,Тульская область,28031,13792,2.03,2892
85,Республика Тува (Тыва),37437,12576,2.98,1413
86,Тюменская область,31127,17801,1.75,3451
88,Ульяновская область,25454,12096,2.1,1493
89,Челябинская область,26736,15131,1.77,7016
90,Чеченская республика,24466,9640,2.54,831
91,Чувашская республика - Чувашия,23452,10927,2.15,2775
92,Республика Саха (Якутия),47968,23947,2.0,2513
93,Еврейская автономная область,42940,17442,2.46,1082
94,Сахалинская область,46574,29505,1.58,1503
95,Чукотский автономный округ,77339,35243,2.19,175
96,Белгородская область,24151,13815,1.75,3288
97,Калужская область,25065,15402,1.63,2078
98,Курганская область,25309,11221,2.26,4083
99,Ивановская область,22970,11005,2.09,1892
100,Смоленская область,22287,12632,1.76,1926
101,Тверская область,21575,12866,1.68,3722
102,Ненецкий автономный округ,53731,36657,1.47,177
103,Рязанская область,25626,13139,1.95,2225
104,Ямало-Ненецкий автономный округ,57925,42583,1.36,1820
105,Оренбургская область,22453,12179,1.84,4272
106,Томская область,35884,17183,2.09,1288
107,Ярославская область,22531,14394,1.57,3336
108,Ханты-Мансийский автономный округ — Югра,50306,34430,1.46,3871
